Bild,Titel,Jahr,Eigenschaften,Copyright Bild,Ansicht
http://img.kochman.at/57%20Fotos%202000%20pxl/000303.jpg,„BI 5” (Passstück),1990,"Aluminiumguß bemalt
50 x 27 x 77 cm
Sockel: 77 x 74 x 45 cm",,"Atelier Weißgerberlände, 1990"
http://img.kochman.at/57%20Fotos%202000%20pxl/000693.jpg,„Schöne Aussicht”,1988,"Stahl, Zeitung
113 x 84 x 46 cm",,Installationsansicht Galerie Zwirner
http://img.kochman.at/57%20Fotos%202000%20pxl/000715.jpg,„PA 1”,1990,"Bodenplatte, Monitor, Metall, Stühle
Tisch: 43 x 60 x 110 cm
sechs Stühle: Maße variabel","Bettina Letz, Wien","Installationsansicht Museum Moderner Kunst, 1996"
http://img.kochman.at/57%20Fotos%202000%20pxl/001325.jpg,„Auto Sex”,1999,"Heimo Zobernig, Franz West
halbtransparente Spiegelfolie, Gummi, Papierklemmen;
zwei Stühle: Metall, Holz, Schaumstoff, Baumwolle
je 84 x 45 x 54 cm
Folie: 250 x 150 cm
Gummi: 141 x 320 cm",,"Installationsansicht Galerie Hauser & Wirth, Zürich, 1999"
http://img.kochman.at/57%20Fotos%202000%20pxl/001704.jpg,Labstück,o.J.,"Holz, Glas, Metall, Pappe
22 x 39 x 28 cm",,
http://img.kochman.at/57%20Fotos%202000%20pxl/002270.jpg,„Doku-Stuhl”,1997-2003,"Offene Edition, alle individuell in Farbe und Gestaltung
Stahl, Holz, Schaumstoff, Leinen, Baumwolle
je ca. 84 x 45 x 54 cm",Werner Maschmann,"Installationsansicht documenta X, Kassel, 1997"
http://img.kochman.at/57%20Fotos%202000%20pxl/002339.jpg,“Spiegel in Kabine mit Passstücken”,1996,"4 Passstücke, Bodenplatte, Kabine, Spiegel von Michelangelo Pistoletto, Video mit Handlungsanregungen, Monitor
Kabine: Spiegel, Holz, Zeitung, Dispersion; Passstücke: Epoxydharz, Metall; Monitor, Video
Kabine: 220 x 260 x 360 cm; 
Spiegel: 220 x 140 cm; 
Passstücke: 112 x 16 x 15 cm, 112 x 30 x 22 cm, 108 x 31 x 22,5 cm, 114 x 29 x 28 cm",© Marc Boyer,"Installationsansicht Les Abbatoirs, Toulouse, 2000"
http://img.kochman.at/57%20Fotos%202000%20pxl/003265.jpg,“Viennoiserie“,1998,"10teilige Bilderwand mit Arbeiten verschiedener Künstler, Diwan, 2 Editionen, Sockel, Tisch

Einzelne Arbeiten:
Richard Jackson: 66 x 101 cm
Paul McCarthy: 61 x 48 cm
Raymond Pettibon: 44 x 28 cm
Roland Kollnitz: 138 x 38 x 5 cm
Otto Mühl: 55 x 65 cm
Seamus Farel a.o.: 85 x 103 cm
Joseph Kosuth: 125,5 x 107 cm
Franz West (braun): 85 x 103 cm
Franz West (Kleiderbügel): 44 x 24 x 5 cm
Franz West (Deckel): 37 x 28 x 3,5 cm
Franz West (linke Skulptur): 68 x 68 x 104 (H) cm
Sockel: 59,5 x 37 x 98 (H) cm
Franz West (rechte Skulptur): 66 x 78 x 93,5 (H) cm
Tisch von Prinzgau/Podgorschek, von Franz West überarbeitet: 74 x 97 ø cm
Franz West (Diwan): 230 x 80 x 90 (H) cm","Jens Preusse, Wien","Installationsansicht Atelier Stubenring, 1998"
http://img.kochman.at/57%20Fotos%202000%20pxl/006149.jpg,„Sphairos (Die Kopie ihres Titels)”,1998,"Aluminium lackiert
150 x 150 x 150 cm, Sockel: 49 x 240 x 290 cm",Heinz Stanger,"Installationsansicht Skulptur im Schlosspark Ambras, Innsbruck, 2000"
http://img.kochman.at/57%20Fotos%202000%20pxl/006575.jpg,„Onkel-Stuhl“,2001-2009,"Stahl, Textilbänder
ca. 87 (H) x 51 x 45 cm (Standardmaße)",,
http://img.kochman.at/57%20Fotos%202000%20pxl/012930.jpg,“Schöner Wohnen”,1999,"zehnteilige Bilderwand mit Arbeiten verschiedener KünstlerInnen, zwei Clubfauteuils, Trog
Maße variabel ","A. Burger, Zürich","Installationsansicht Hauser & Wirth, 1999"
http://img.kochman.at/57%20Fotos%202000%20pxl/013594.jpg,"„H. Moser’s Messer (Symbolik (Dir, Reinhard))“",1982,"Gouache auf Zeitungsseite
26,6 x 21,3 cm",Lukas Schaller,
http://img.kochman.at/57%20Fotos%202000%20pxl/013701.jpg,o.T.,2007,"Papiermaché, Metall, Holz, Farbe
154 x 103 x 63 cm
Sockel: 100 x 50 x 60 cm",Lukas Schaller,
http://img.kochman.at/57%20Fotos%202000%20pxl/013821.jpg,“We’ll not carry coals”,2000/2007,"sechsteilige Installation mit Arbeiten verschiedener Künstler
diverse Materialien; Maße variabel",Clemens Schillinger,"Installationsansicht Kunstraum Innsbruck, 2007"
http://img.kochman.at/57%20Fotos%202000%20pxl/013871.jpg,„Eine Studie“ (Modell),2007,"Papiermaché, Metall, Acrylfarbe, Holz, Plexiglas
33 x 53 x 53 cm",Lukas Schaller,
http://img.kochman.at/57%20Fotos%202000%20pxl/013875.jpg,„Eine Studie“ (Modell),2007,"Papiermaché, Metall, Acrylfarbe, Holz, Plexiglas
33 x 53 x 53 cm",Lukas Schaller,
http://img.kochman.at/57%20Fotos%202000%20pxl/013912.jpg,Passstück,o.J.,"Polyester, Glasfiber, Dispersion
33,5 x 45,5 cm (Ø) ",Lukas Schaller,
http://img.kochman.at/57%20Fotos%202000%20pxl/013916.jpg,Passstück,o.J.,"Polyesterkern, Dispersion, Besenstiel, Gips, Gaze
92,5 x 44,5 x 42,3 cm ",Lukas Schaller,
http://img.kochman.at/57%20Fotos%202000%20pxl/014130.jpg,"Plakatentwurf (Passstücke, Gagosian Gallery N.Y.)",2008,"Collage, Digitalprint, Acryl auf Schaumkarton
113,5 x 132,6 cm
Rahmen: 124 x 143,5 x 5,5 cm",Lukas Schaller,
http://img.kochman.at/57%20Fotos%202000%20pxl/014131.jpg,„Pommes d’Adam“ (Modell),2007,"Modell mit vier Skulpturen in Vitrine
Papiermaché, Holz, Plexiglas
87 x 126 x 64 cm",Lukas Schaller,
http://img.kochman.at/57%20Fotos%202000%20pxl/014139.jpg,„NYCNAC“,2008,"Paravent mit Tapete, 2 bis 8 Passstücke und Video
Digitalprint, Acrylfarbe, Holz, Video
Kabine: 4 Flügel je 240 x 160 cm
Passstücke: je 100 x 20 x 25 cm",Lukas Schaller,
http://img.kochman.at/57%20Fotos%202000%20pxl/014256.jpg,Passstück (bemalt von Eugenia Rochas),1982,"Metall, Holz, Farbe, Papier
56 x 53 x 26 cm",Lukas Schaller,
http://img.kochman.at/57%20Fotos%202000%20pxl/014798.jpg,„Warum ist etwas und nicht nichts”,1997,"Stahlblech lackiert, Laminat
220 x 390 x 180 cm",© Margherita Spiluttini,
